4ªDelegacia;SP;São José dos campos;Rua Guarani,307;Santana;(12)3943-2040
Delegacia Regional Cultura;SP;São José dos campos;Av. Eng. Sebastião Gualberto, 545;Vl. Maria;(12)3923-4860
1ªFelegacia de Policia;SP;São José dos campos;Rua Humaitá, 6;Centro;(12)3951-2155
Centro de operaçõess Integradas(COI);SP;São José dos campos;Praça Afonço Pena;Centro;(12)3925-6801
S.O.S Mulher;SP;São José dos campos;Rua Dolzani Ricardo, 713;Centro;(12)3923-5282
Juizado de Menores;SP;São José dos campos;Rua Itororó, 221;Jd. Paulista;(12)3921-3655
2ªDelegacia de Policia;SP;São José dos campos;Praça Carlos Gomes;Jd. Paulista;(12)3921-2112
Delegacia de Serviço Militar do Exérxcito;SP;São José dos campos;Rua Sagiro Nakamura, 500;Vl. Industrial;(12)3912-1605
Guarda Civil Municipal;SP;São José dos campos;Rua Felício Savastano, 401;Vl. Industrial;(12)3901-2434
6ª Delegacia de Policia;SP;São José dos campos;Rua Santa Fé, 270;Vista Verde;(12)39121817
1ªCorregedoria Auxiliar de SJCampos;SP;São José dos campos;Rua Benedito da Silva Ramos, 877;Jd. Esplanada;(12)3911-1944
Delegacia de Invertigações Sobre Intorpecentes;SP;São José dos campos;Av. Barão do Rio Branco, 642;Jd. Esplanada;(12)3923-9052
Delegacia do Idoso;SP;São José dos campos;Rua Comendador Remo Cesaroni, 283;Vl. Ema;
Polícia Federal;SP;São José dos campos;Av. Tivoli, 44;Vl. Betania;(12)32027100
8ªDelegacia de Polícia;SP;São José dos campos;Av. Dr. João Batista Soares Quieroz Júnior, 226;Jd. das Indústrias;(12)3934-5044
3ªDelegacia de Polícia;SP;São José dos campos;Rua José Cobra,1200;Cj. Res. 31 de Março;(12)3931-2578
Polícia Civil;SP;São José dos campos;Av. Andrômeda,2000;Jardim Satélite;(12)3931-3001
Delegacia Seccional de Polícia de SJCampos;SP;São José dos campos;Rua Ipiau, 100;Jd. Satélite;(12)3931-3001
Delegacia Defesa da Mulher;SP;São José dos campos;Rua Itambé, 294;Jd. Satélite;(12)3934-9336
Delegacia Anti-Sequestro;SP;São José dos campos;Av. Andrômeda,2000;Bosque dos Eucaliptos;(12)3917-5335 ou 3917-2119
7ª Delegcia de Polícia;SP;São José dos campos;Av. Cidade Jardim, 4440;Bosque dos Eucaliptos;(12)3916-5750
Polícia Rodoviária Estadual;SP;São José dos campos;Km 95000 da SP-070;;
